,nom,naissance,nationalité,distinction,age
0,Christian Sinicropi,1971-09-13 00:00:00.000000000,Français,"['2 étoiles au Guide Michelin', '18/20 au Gault-Millau']",49
1,Bruno Oger,1966-05-09 00:00:00.000000000,Français,['2 étoiles au Guide Michelin'],54
2,Sébastien Bras,1946-11-04 00:00:00.000000000,Français,,74
3,Jean-Luc Rabanel,1964-01-14 00:00:00.000000000,Français,['Chevalier des Arts et des Lettres'],56
4,Alexandre Mazzia,1976-04-30 00:00:00.000000000,Français,,44
5,Patrick Bertron,1962-01-22 00:00:00.000000000,Français,,58
6,Olivier Bellin,1971-08-08 00:00:00.000000000,Français,,49
7,Michel Sarran,1961-04-18 00:00:00.000000000,Français,,59
8,Bernard Bach,1961-03-16 00:00:00.000000000,Français,['2 étoiles au Guide Michelin'],59
9,Gordon Ramsay,1966-11-08 00:00:00.000000000,Britannique,,54
10,Pierre Gagnaire,1950-04-09 00:00:00.000000000,Français,,70
11,Hugo Roellinger,1988-01-01 00:00:00.000000000,Français,,32
12,Christophe Aribert,1971-04-25 00:00:00.000000000,Français,,49
13,Patrick Henriroux,1958-11-20 00:00:00.000000000,Français,['2 étoiles au Guide Michelin'],62
14,Christophe Hay,1977-06-13 00:00:00.000000000,Français,,43
15,Marc Meurin,1953-01-04 00:00:00.000000000,Français,,67
16,Alexandre Gauthier,1979-03-26 00:00:00.000000000,Français,,41
17,Pascal Bastian,1978-11-24 00:00:00.000000000,Français,,41
18,Jean-Georges  Klein,1950-01-01 00:00:00.000000000,Français,,70
19,Paul et Marc Haeberlin,1970-01-01 00:00:00.000001953,Français,,50
20,Olivier Nasti,1966-12-09 00:00:00.000000000,Français,,53
21,Paul Bocuse,1926-02-11 00:00:00.000000000,Français,,94
22,Mathieu Viannay,1967-07-14 00:00:00.000000000,Français,,53
23,Sébastien Vauxion,1983-05-29 00:00:00.000000000,Français,,37
24,Marc Veyrat,1950-05-08 00:00:00.000000000,Français,"['2 étoiles au Guide Michelin', 'Gault et Millau', ""Ordre national de la Légion d'honneur""]",70
25,Yoann Conte,1974-01-01 00:00:00.000000000,Français,,46
26,Guy Martin,1957-02-03 00:00:00.000000000,Français,,63
27,Alain Ducasse,1956-09-13 00:00:00.000000000,Français,"['trois étoiles au Guide Michelin', 'Chevalier de la Légion d’honneur']",64
28,Nicolas Sale,1972-07-29 00:00:00.000000000,Français,,48
29,Thierry Marx,1959-09-19 00:00:00.000000000,Français,,61
30,Joël Robuchon,1945-04-07 00:00:00.000000000,Français,"['2 étoiles au Guide Michelin', 'Gault et Millau', 'International Herald Tribune', 'Gault et Millau', 'Meilleur ouvrier de France', ""Officier de la Légion d'honneur""]",75
31,Sylvestre Wahid,1975-08-03 00:00:00.000000000,Français,,45
32,Stéphanie Le Quellec,1981-12-06 00:00:00.000000000,Français,,38
33,Yannick Alléno,1968-12-16 00:00:00.000000000,Français,"['3 étoiles au Guide Michelin', 'Mérite agricole', 'Ordre du Mérite', 'Arts et des Lettres']",51
35,Jean-François Piège,1970-09-25 00:00:00.000000000,Français,,50
36,Pascal Barbot,1972-06-07 00:00:00.000000000,Français,,48
37,Édouard Loubet,1970-09-25 00:00:00.000000000,Français,,50
38,Alexandre Couillon,1975-12-01 00:00:00.000000000,Français,,44
39,Jean-Michel Lorain,1959-01-07 00:00:00.000000000,Français,,61
